"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"20646",22124,"Mateusz Zajac","Basic","Poland","T-Mobile Ekstraklasa","GK",52,"Wisla Kraków","59","56","50","45","50"
"20659",22137,"Laurence Bilboe","Basic","England","EFL Championship","GK",52,"Rotherham United","55","51","50","54","50"
"20666",22144,"Nasser Al Mehaini","Basic","Saudi Arabia","Dawry Jameel","GK",52,"Al Batin","53","50","49","60","49"
"20670",22148,"Hubert Gostomski","Basic","Poland","T-Mobile Ekstraklasa","GK",52,"Jagiellonia Bialystok","51","53","55","52","55"
"20682",22160,"Usama Al Hamdan","Basic","Saudi Arabia","Dawry Jameel","GK",52,"Ettifaq FC","54","54","53","52","53"
"20683",22161,"Baboucarr Gaye","Basic","Germany","Bundesliga 2","GK",52,"DSC Arminia Bielefeld","54","58","54","50","54"
"20686",22164,"Martin Kompalla","Basic","Poland","Bundesliga 2","GK",52,"VfL Bochum 1848","59","57","44","48","44"
"20687",22165,"Matthew Urwin","Basic","England","EFL League One","GK",52,"Fleetwood Town","55","58","53","45","53"
"20688",22166,"Ciaran Gallagher","Basic","Republic of Ireland","SSE Airtricity League","GK",52,"Finn Harps","54","52","53","55","53"
"20699",22177,"Benjamin Ozegovic","Basic","Austria","Österreichische Fußball-Bundesliga","GK",52,"SCR Altach","59","55","51","51","51"
"20700",22178,"Brayan Silva","Basic","Colombia","Liga Dimayor","GK",52,"Millonarios FC","53","55","52","49","52"
"20701",22179,"Lasse Mikkelsen","Basic","Denmark","Alka Superliga","GK",52,"Esbjerg fB","50","56","51","56","51"
"20702",22180,"Abdulaziz Al Shehry","Basic","Saudi Arabia","Dawry Jameel","GK",52,"Al Qadisiyah","55","59","51","45","51"
"20711",22189,"Khalid Al Muqaytib","Basic","Saudi Arabia","Dawry Jameel","GK",52,"Al Raed","59","54","52","43","52"
"20716",22194,"Paul Gartler","Basic","Austria","Österreichische Fußball-Bundesliga","GK",52,"SK Rapid Wien","59","56","54","51","54"
"20728",22206,"Patrick Pentz","Basic","Austria","Österreichische Fußball-Bundesliga","GK",52,"FK Austria Wien","56","53","49","50","49"
"20730",22208,"Abdullah Al Zahrani","Basic","Saudi Arabia","Dawry Jameel","GK",52,"Al Raed","52","59","51","52","51"
"20735",22213,"Jojo Wollacott","Basic","England","EFL Championship","GK",52,"Bristol City","54","52","49","54","49"
"20745",22223,"Kristian Rutlin","Basic","Norway","Tippeligaen","GK",52,"Sogndal Fotball","44","59","49","59","49"
"20746",22224,"Harry Girling","Basic","England","EFL League One","GK",52,"Millwall","54","56","55","48","55"
"20758",22236,"Daniel Rodríguez","Basic","Colombia","Liga Dimayor","GK",52,"Corporación Club Deportivo Tuluá","51","57","49","58","49"
"20765",22243,"Hwang In Gu","Basic","Korea Republic","K LEAGUE Classic","GK",52,"GwangJu FC","54","49","49","55","49"
"20782",22260,"Sondre Sødergren","Basic","Norway","Tippeligaen","GK",52,"Aalesunds FK","49","55","52","52","52"
"20789",22267,"Nikita Medvedev","Basic","Russia","Sogaz Russian Football Championship","GK",52,"FC Rostov","46","54","52","58","52"
"20808",22286,"Frederik Due","Basic","Denmark","Alka Superliga","GK",52,"Randers FC","46","58","52","53","52"
"20809",22287,"Zander Clark","Basic","Scotland","Scottish Premiership","GK",52,"St. Johnstone FC","53","57","54","53","54"
"20853",22331,"Jakub Freitag","Basic","Poland","T-Mobile Ekstraklasa","GK",51,"Piast Gliwice","59","52","49","46","49"
"20854",22332,"Matt Turner","Basic","United States","Major League Soccer","GK",51,"New England Revolution","52","51","49","55","49"
"20863",22341,"Ben Dudzinski","Basic","England","EFL League Two","GK",51,"Hartlepool United","53","52","50","56","50"
"20866",22344,"Viktor Anker","Basic","Denmark","Alka Superliga","GK",51,"Brøndby IF","51","51","49","52","49"
"20868",22346,"Moritz Nicolas","Basic","Germany","Bundesliga","GK",51,"Borussia Mönchengladbach","55","49","46","53","46"
"20876",22354,"Devis Vásquez","Basic","Colombia","Liga Dimayor","GK",51,"Patriotas Boyacá FC","55","51","55","52","55"
"20882",22360,"Ataberk Gürgen","Basic","Turkey","Süper Lig","GK",51,"Atiker Konyaspor","58","54","44","61","44"
"20895",22373,"Ahmad Al Ghamdi","Basic","Saudi Arabia","Dawry Jameel","GK",51,"Al Wehda","48","49","55","56","55"
"20916",22394,"Neydson","Basic","Brazil","Tippeligaen","GK",51,"Molde FK","57","56","46","50","46"
"20921",22399,"Marcos Peano","Basic","Argentina","Primera División","GK",51,"Unión de Santa Fe","50","51","53","54","53"
"20931",22409,"Adam Wilk","Basic","Poland","T-Mobile Ekstraklasa","GK",51,"Cracovia","54","56","45","49","45"
"20932",22410,"Myles Boney","Basic","England","EFL League Two","GK",51,"Blackpool","54","55","49","47","49"
"20935",22413,"Shaun Patton","Basic","Northern Ireland","SSE Airtricity League","GK",51,"Derry City","54","49","49","49","49"
"20937",22415,"Yazeed Al Sayyah","Basic","Saudi Arabia","Dawry Jameel","GK",51,"Al Taawoun","49","54","50","54","50"
"20940",22418,"Lee Steacy","Basic","Republic of Ireland","SSE Airtricity League","GK",51,"Bray Wanderers","52","53","49","54","49"
"20947",22425,"Harry Campbell","Basic","England","EFL Championship","GK",51,"Burton Albion","57","52","52","43","52"
"20952",22430,"Oliver Sail","Basic","New Zealand","Hyundai A-League","GK",51,"Wellington Phoenix","56","48","49","48","49"
"20953",22431,"Mohammed Awaji","Basic","Saudi Arabia","Dawry Jameel","GK",51,"Al Shabab","54","49","52","49","52"
"20975",22453,"Mitchell Beeney","Basic","England","EFL League Two","GK",51,"Crawley Town","56","54","49","47","49"
"20984",22462,"Thomas Hagelskjaer","Basic","Denmark","Alka Superliga","GK",51,"Aarhus GF","56","49","49","49","49"
"20989",22467,"Patrick Jennings","Basic","England","SSE Airtricity League","GK",51,"St. Patrick's Athletic","49","49","53","52","53"
"20991",22469,"René Robitsch","Basic","Austria","Österreichische Fußball-Bundesliga","GK",51,"Wolfsberger AC","56","50","47","48","47"
"20995",22473,"Jonas Ueland Kolstad","Basic","Norway","Tippeligaen","GK",51,"FK Bodø/Glimt","56","57","41","46","41"
"20996",22474,"Ryan Coulter","Basic","Republic of Ireland","SSE Airtricity League","GK",51,"Longford Town","54","53","49","53","49"
"20999",22477,"Jonas Omlin","Basic","Switzerland","Raiffeisen Super League","GK",51,"FC Luzern","57","54","45","47","45"
"21001",22479,"Abdullah Al Shammari","Basic","Saudi Arabia","Dawry Jameel","GK",51,"Al Nassr","54","49","50","51","50"
"21002",22480,"Dion Henry","Basic","England","EFL League One","GK",51,"Peterborough United","47","56","50","50","50"
"21006",22484,"Matt Macey","Basic","England","Premier League","GK",51,"Arsenal","53","53","49","49","49"
"21010",22488,"Conor O'Malley","Basic","Republic of Ireland","SSE Airtricity League","GK",51,"St. Patrick's Athletic","56","53","51","53","51"
"21016",22494,"Amund Wichne","Basic","Norway","Tippeligaen","GK",50,"Viking FK","50","52","48","49","48"
"21021",22499,"Julian Faye Lund","Basic","Norway","Tippeligaen","GK",50,"Rosenborg BK","53","54","47","50","47"
"21028",22506,"Jack Bonham","Basic","Republic of Ireland","EFL Championship","GK",50,"Brentford","54","49","51","48","51"
"21029",22507,"Andy Warrington","Basic","England","EFL League Two","GK",50,"Grimsby Town","51","44","50","50","50"
"21039",22517,"Mohammed Al Barih","Basic","Saudi Arabia","Dawry Jameel","GK",50,"Al Fateh","54","54","48","42","48"
"21049",22527,"Aaron Shanahan","Basic","Republic of Ireland","SSE Airtricity League","GK",50,"Bray Wanderers","53","49","48","52","48"
"21052",22530,"Lee Baxter","Basic","Sweden","Alka Superliga","GK",50,"Aarhus GF","42","48","62","46","62"
"21057",22535,"Adrian Jonuzi Møller","Basic","Norway","Tippeligaen","GK",50,"Vålerenga Fotball","55","55","42","46","42"
"21068",22546,"Herman Børreson Fossdal","Basic","Norway","Tippeligaen","GK",50,"FK Haugesund","52","56","47","44","47"
"21070",22548,"Damian Weglarz","Basic","Poland","T-Mobile Ekstraklasa","GK",50,"Jagiellonia Bialystok","48","51","54","49","54"
"21081",22559,"Peter Vindahl Jensen","Basic","Denmark","Alka Superliga","GK",50,"FC Nordsjælland","53","50","50","53","50"
"21086",22564,"Leonardo Marson","Basic","Italy","Calcio A","GK",50,"Palermo","49","52","49","56","49"
"21089",22567,"Naif Al Mutairi","Basic","Saudi Arabia","Dawry Jameel","GK",50,"Al Batin","55","56","47","50","47"
"21091",22569,"Fabijan Buntic","Basic","Croatia","Bundesliga","GK",50,"FC Ingolstadt 04","52","48","50","52","50"
"21096",22574,"Felix Gschossmann","Basic","Austria","Österreichische Fußball-Bundesliga","GK",50,"SKN St. Pölten","54","57","42","55","42"
"21098",22576,"Khuailed Al Rasheedi","Basic","Saudi Arabia","Dawry Jameel","GK",50,"Al Batin","61","49","46","49","46"
"21135",22613,"Christian Mørch","Basic","Norway","Tippeligaen","GK",49,"Stabæk Fotball","51","54","46","46","46"
"21140",22618,"Nicolai Laursen","Basic","Denmark","Alka Superliga","GK",49,"SønderjyskE","51","58","44","49","44"
"21145",22623,"Ciaran Nugent","Basic","United States","SSE Airtricity League","GK",49,"Sligo Rovers","53","49","49","53","49"
"21155",22633,"Jacob Faye-Lund","Basic","Norway","Tippeligaen","GK",49,"Lillestrøm SK","53","53","43","47","43"
"21162",22640,"Connor Gleeson","Basic","Republic of Ireland","SSE Airtricity League","GK",49,"Galway United","45","48","54","49","54"
"21167",22645,"Leo Fasan","Basic","Italy","Scottish Premiership","GK",49,"Celtic","49","53","49","45","49"
"21177",22655,"Charlie Burns","Basic","England","EFL League One","GK",49,"Milton Keynes Dons","52","48","47","48","47"
"21188",22666,"Marcus Bobjerg","Basic","Denmark","Alka Superliga","GK",49,"AC Horsens","46","50","44","59","44"
"21213",22691,"Craig King","Basic","England","EFL League Two","GK",48,"Luton Town","52","49","46","46","46"
"21215",22693,"Tommy Lee McCarron","Basic","Republic of Ireland","SSE Airtricity League","GK",48,"Finn Harps","54","48","49","49","49"
"21231",22709,"Matthew Connor","Basic","Republic of Ireland","SSE Airtricity League","GK",48,"Cork City","49","52","41","51","41"
"21267",22745,"Luke Coddington","Basic","England","EFL Championship","GK",48,"Huddersfield Town","53","48","44","44","44"
"21273",22751,"Kevin Pilkington","Basic","England","EFL League Two","GK",48,"Notts County","47","47","49","48","49"
"21274",22752,"Mathew Hudson","Basic","England","EFL Championship","GK",48,"Preston North End","47","51","46","49","46"
"21311",22789,"Ian Molloy","Basic","Republic of Ireland","SSE Airtricity League","GK",47,"Longford Town","48","48","48","48","48"
"21315",22793,"Kyle Gourlay","Basic","Scotland","Scottish Premiership","GK",47,"Dundee FC","47","46","47","42","47"
"21316",22794,"Devlin Mackay","Basic","Scotland","Scottish Premiership","GK",47,"Kilmarnock","47","48","46","49","46"
"21319",22797,"Corey Chambers","Basic","Republic of Ireland","SSE Airtricity League","GK",47,"Wexford Youths","50","49","46","45","46"
"21320",22798,"Sean Fogarty","Basic","Republic of Ireland","SSE Airtricity League","GK",47,"Bray Wanderers","47","47","45","46","45"
"21321",22799,"Calum Kitscha","Basic","England","EFL League Two","GK",47,"Cheltenham Town","52","50","44","44","44"
"21324",22802,"Kevin Horgan","Basic","Republic of Ireland","SSE Airtricity League","GK",47,"Galway United","45","48","47","48","47"
"21332",22810,"Niall Maher","Basic","England","EFL League Two","GK",46,"Morecambe","47","45","45","53","45"
"21338",22816,"Fabian Ehmann","Basic","Austria","Österreichische Fußball-Bundesliga","GK",46,"SK Sturm Graz","49","54","44","37","44"
"21346",22824,"Alan Smith","Basic","Republic of Ireland","SSE Airtricity League","GK",46,"Cork City","52","47","39","44","39"
"21356",22834,"Dylan Doherty","Basic","Northern Ireland","SSE Airtricity League","GK",45,"Derry City","47","47","44","45","44"
"21363",22841,"Sam Hornby","Basic","England","EFL Championship","GK",45,"Burton Albion","50","48","41","42","41"
"21378",22856,"Sam Sargeant","Basic","England","EFL League Two","GK",44,"Leyton Orient","46","50","45","40","45"
"21379",22857,"Barry Richardson","Basic","England","EFL League Two","GK",44,"Wycombe Wanderers","37","33","58","51","58"
"21382",22860,"Sam Ramsbottom","Basic","England","SSE Airtricity League","GK",44,"Galway United","48","47","44","41","44"
"21383",22861,"Dylan McGoey","Basic","Republic of Ireland","SSE Airtricity League","GK",44,"Longford Town","39","46","47","46","47"
"21384",22862,"Ben Kelly","Basic","Republic of Ireland","SSE Airtricity League","GK",44,"Dundalk","46","43","45","39","45"
"21400",9,"Manuel Neuer","Team of the Year","Germany","Bundesliga","GK",98,"FC Bayern München","98","98","100","99","100"
"21437",46,"Manuel Neuer","Ultimate Flashbacks","Germany","Bundesliga","GK",93,"FC Bayern München","93","93","95","94","95"
"21440",49,"Gianluigi Buffon","Record Breakers","Italy","Calcio A","GK",93,"Juventus","94","92","98","96","98"
"21448",57,"Alphonse Areola","Lunar New Year","France","Ligue 1","GK",93,"Paris Saint-Germain","97","98","89","93","89"
"21472",81,"Timo Horn","Carniball","Germany","Bundesliga","GK",92,"1. FC Köln","91","94","93","91","93"
"21479",88,"Petr Cech","EPL Boxing Day","Czech Republic","Premier League","GK",92,"Arsenal","90","92","92","97","92"
"21509",118,"De Gea","Ultimate Flashbacks","Spain","Premier League","GK",91,"Manchester United","92","94","89","89","89"
"21510",119,"Marc-André ter Stegen","League Master","Germany","LaLiga Santander","GK",91,"FC Barcelona","93","94","87","90","87"
"21527",136,"Sergio Asenjo","League Master","Spain","LaLiga Santander","GK",91,"Villarreal CF","95","86","92","93","92"
"21551",161,"Diego Alves","Attack Mode","Brazil","LaLiga Santander","GK",91,"Valencia CF","98","97","87","86","87"
"21570",181,"José Reina","Calcio A Masters","Spain","Calcio A","GK",90,"Napoli","87","90","91","92","91"
"21622",237,"Gianluigi Donnarumma","Calcio A Masters","Italy","Calcio A","GK",89,"Milan","92","98","84","86","84"
"21625",240,"Moyá","Team of the Week","Spain","LaLiga Santander","GK",89,"Atlético Madrid","94","88","90","87","90"
"21628",243,"Tim Howard","MLS Masters","United States","Major League Soccer","GK",89,"Colorado Rapids","90","90","88","86","88"
"21662",277,"Alphonse Areola","Lunar New Year","France","Ligue 1","GK",88,"Paris Saint-Germain","92","93","84","88","84"
"21741",365,"Timo Horn","Carniball","Germany","Bundesliga","GK",87,"1. FC Köln","86","89","88","86","88"
"21753",378,"Ben Foster","EPL Boxing Day","England","Premier League","GK",86,"West Bromwich Albion","86","91","84","86","84"
"21773",400,"Gerónimo Rulli","League Master","Argentina","LaLiga Santander","GK",86,"Real Sociedad","90","91","85","84","85"
"21825",478,"Gianluigi Buffon","Flashbacks","Italy","Calcio A","GK",85,"Juventus","86","84","91","88","91"
"21830",484,"Ron-Robert Zieler","Carniball","Germany","Premier League","GK",85,"Leicester City","83","87","86","87","86"
"21954",665,"Tim Howard","MLS Cup","United States","Major League Soccer","GK",83,"Colorado Rapids","84","83","82","80","82"
"22004",748,"Salvatore Sirigu","Movember","Italy","Ligue 1","GK",82,"Paris Saint-Germain","85","85","82","81","82"
"22085",1118,"Franco Armani","Club Champions","Argentina","Liga Dimayor","GK",80,"Atlético Nacional","80","81","83","77","83"
"22189",1546,"Ludovic Butelle","Team of the Week","France","Belgium Pro League","GK",78,"Club Brugge KV","81","76","81","82","81"
"22227",1746,"Fabrice Ondoa","African Tournament","Cameroon","LaLiga 1 I 2 I 3","GK",78,"Sevilla Atlético","89","76","76","72","76"
"22260",2038,"Lukasz Skorupski","Team of the Week","Poland","Calcio A","GK",77,"Empoli","82","82","77","77","77"
"22297",2142,"Felix Wiedwald","Team of the Week","Germany","Bundesliga","GK",77,"SV Werder Bremen","79","81","76","71","76"
"22331",2489,"Stefan Frei","MLS Cup","Switzerland","Major League Soccer","GK",76,"Seattle Sounders FC","77","80","78","72","78"
"22341",2508,"Clint Irwin","MLS Cup","United States","Major League Soccer","GK",76,"Toronto FC","77","77","78","76","78"
"22343",2521,"Jean-François Gillet","Team of the Week","Belgium","Belgium Pro League","GK",76,"Standard de Liège","71","76","82","79","82"
"22358",2723,"Péter Gulácsi","Team of the Week","Hungary","Bundesliga","GK",75,"RB Leipzig","77","81","72","73","72"
"22367",2826,"Alban Lafont","Team of the Week","France","Ligue 1","GK",75,"Toulouse Football Club","77","78","76","76","76"
"22378",2931,"Evan Bush","MLS Cup","United States","Major League Soccer","GK",75,"Montreal Impact","78","80","74","72","74"
"22379",2972,"Harun Tekin","Team of the Week","Turkey","Süper Lig","GK",75,"Bursaspor","81","80","74","69","74"
"22421",3549,"Zac MacMath","MLS Cup","United States","Major League Soccer","GK",74,"Colorado Rapids","77","79","74","69","74"
"22429",3786,"Kwoun Sun Tae","Club Champions","Korea Republic","K LEAGUE Classic","GK",74,"Jeonbuk Hyundai Motors","75","74","75","72","75"
"22436",3804,"Kevin Stuhr-Ellegaard","Movember","Denmark","Allsvenskan","GK",74,"IF Elfsborg","70","70","77","79","77"
"22508",5344,"Rubén Yáñez","Club Champions","Spain","LaLiga Santander","GK",72,"Real Madrid","74","77","64","72","64"
"22592",7216,"Hugo González","Club Champions","Mexico","LIGA Bancomer MX","GK",70,"Club América","75","74","72","69","72"
"22600",7267,"Cristian Bonilla","Club Champions","Colombia","Liga Dimayor","GK",70,"Atlético Nacional","73","75","65","71","65"
"22700",9280,"Carlo Pinsoglio","Team of the Week","Italy","Calcio B","GK",68,"Latina","71","72","66","67","66"
"22754",11103,"Eric Kronberg","MLS Cup","United States","Major League Soccer","GK",66,"Montreal Impact","60","67","67","69","67"
